id,afternoonTemperature,date,eveningTemperature,morningTemperature,nightTemperature
1,3,2010-01-01,0,2,1
2,-1,2010-01-02,0,1,2
3,-3,2010-01-03,0,-4,-3
4,-5,2010-01-04,0,-6,-6
5,0,2010-01-05,0,-2,-6
6,3,2010-01-06,0,3,4
7,6,2010-01-07,0,8,6
8,0,2010-01-08,0,0,0
9,6,2010-01-09,0,6,5
10,9,2010-01-10,0,9,8
11,3,2010-01-11,0,3,3
12,2,2010-01-12,0,2,2
13,-1,2010-01-13,0,0,0
14,0,2010-01-14,0,0,-1
15,-1,2010-01-15,0,1,0
16,-3,2010-01-16,0,-4,-4
17,-3,2010-01-17,0,-1,-1
18,-5,2010-01-18,0,-4,-5
19,-4,2010-01-19,0,-4,-4
20,-5,2010-01-20,0,-4,-5
21,-7,2010-01-21,0,-6,-6
22,-8,2010-01-22,0,-7,-6
23,-12,2010-01-23,0,-13,-11
24,-18,2010-01-24,0,-18,-19
25,-14,2010-01-25,0,-16,-19
26,-10,2010-01-26,0,-12,-17
27,-3,2010-01-27,0,-2,-6
28,-3,2010-01-28,0,-4,-5
29,-4,2010-01-29,0,-2,-4
30,0,2010-01-30,0,-1,-5
31,5,2010-01-31,0,3,1
32,0,2010-02-01,0,4,3
33,-3,2010-02-02,0,-1,-3
34,-2,2010-02-03,0,-2,-4
35,-3,2010-02-04,0,-4,-5
36,-4,2010-02-05,0,-5,-4
37,-6,2010-02-06,0,-8,-6
38,-7,2010-02-07,0,-7,-7
39,-5,2010-02-08,0,-4,-6
40,-2,2010-02-09,0,-3,-4
41,-1,2010-02-10,0,-1,-2
42,0,2010-02-11,0,0,0
43,0,2010-02-12,0,0,0
44,3,2010-02-13,0,0,0
45,0,2010-02-14,0,2,0
46,-1,2010-02-15,0,0,0
47,0,2010-02-16,0,0,-2
48,1,2010-02-17,0,0,-2
49,1,2010-02-18,0,0,0
50,0,2010-02-19,0,1,0
51,7,2010-02-20,0,5,4
52,4,2010-02-21,0,7,2
53,6,2010-02-22,0,4,0
54,4,2010-02-23,0,5,3
55,4,2010-02-24,0,2,3
56,5,2010-02-25,0,2,1
57,2,2010-02-26,0,2,0
58,0,2010-02-27,0,0,0
59,0,2010-02-28,0,0,0
60,6,2010-03-01,0,4,2
61,7,2010-03-02,0,5,3
62,4,2010-03-03,0,5,1
63,1,2010-03-04,0,1,1
64,3,2010-03-05,0,1,0
65,1,2010-03-06,0,1,1
66,0,2010-03-07,0,-1,-3
67,-3,2010-03-08,0,-3,-4
68,0,2010-03-09,0,-1,-4
69,0,2010-03-10,0,-1,-5
70,0,2010-03-11,0,0,-1
71,0,2010-03-12,0,0,-1
72,3,2010-03-13,0,2,0
73,8,2010-03-14,0,7,1
74,4,2010-03-15,0,7,1
75,3,2010-03-16,0,2,-3
76,4,2010-03-17,0,2,-2
77,8,2010-03-18,0,6,0
78,8,2010-03-19,0,6,1
79,6,2010-03-20,0,10,6
80,13,2010-03-21,0,11,6
81,19,2010-03-22,0,17,7
82,7,2010-03-23,0,7,5
83,8,2010-03-24,0,7,4
84,9,2010-03-25,0,7,4
85,6,2010-03-26,0,6,4
86,5,2010-03-27,0,6,4
87,6,2010-03-28,0,7,6
88,10,2010-03-29,0,8,4
89,7,2010-03-30,0,7,7
90,7,2010-03-31,0,7,6
91,7,2010-04-01,0,8,7
92,12,2010-04-02,0,13,8
93,12,2010-04-03,0,12,6
94,11,2010-04-04,0,10,8
95,10,2010-04-05,0,9,6
96,11,2010-04-06,0,11,9
97,13,2010-04-07,0,13,10
98,11,2010-04-08,0,13,7
99,11,2010-04-09,0,10,7
100,9,2010-04-10,0,9,6
101,11,2010-04-11,0,10,8
102,9,2010-04-12,0,8,7
103,12,2010-04-13,0,10,5
104,10,2010-04-14,0,11,6
105,10,2010-04-15,0,11,7
106,9,2010-04-16,0,8,8
107,15,2010-04-17,0,12,9
108,11,2010-04-18,0,12,6
109,11,2010-04-19,0,11,6
110,9,2010-04-20,0,9,10
111,10,2010-04-21,0,9,9
112,10,2010-04-22,0,15,7
113,10,2010-04-23,0,12,4
114,11,2010-04-24,0,12,10
115,15,2010-04-25,0,14,9
116,12,2010-04-26,0,12,7
117,14,2010-04-27,0,12,4
118,13,2010-04-28,0,14,5
119,17,2010-04-29,0,17,11
120,15,2010-04-30,0,15,9
121,15,2010-05-01,0,15,10
122,19,2010-05-02,0,16,11
123,16,2010-05-03,0,16,12
124,17,2010-05-04,0,17,14
125,19,2010-05-05,0,18,12
126,17,2010-05-06,0,17,12
127,17,2010-05-07,0,17,13
128,22,2010-05-08,0,19,13
129,19,2010-05-09,0,18,14
130,18,2010-05-10,0,15,14
131,16,2010-05-11,0,19,14
132,18,2010-05-12,0,18,14
133,18,2010-05-13,0,19,16
134,17,2010-05-14,0,18,16
135,18,2010-05-15,0,20,16
136,19,2010-05-16,0,22,18
137,14,2010-05-17,0,13,13
138,12,2010-05-18,0,12,11
139,15,2010-05-19,0,14,13
140,15,2010-05-20,0,14,10
141,17,2010-05-21,0,18,13
142,16,2010-05-22,0,18,12
143,18,2010-05-23,0,19,12
144,24,2010-05-24,0,20,13
145,18,2010-05-25,0,23,15
146,20,2010-05-26,0,22,15
147,20,2010-05-27,0,20,16
148,22,2010-05-28,0,22,17
149,22,2010-05-29,0,22,15
150,21,2010-05-30,0,22,17
151,20,2010-05-31,0,21,19
152,21,2010-06-01,0,21,18
153,23,2010-06-02,0,22,20
154,21,2010-06-03,0,20,16
155,20,2010-06-04,0,20,17
156,21,2010-06-05,0,23,17
157,22,2010-06-06,0,22,16
158,25,2010-06-07,0,23,17
159,23,2010-06-08,0,25,18
160,28,2010-06-09,0,26,19
161,28,2010-06-10,0,27,18
162,29,2010-06-11,0,26,22
163,29,2010-06-12,0,28,21
164,26,2010-06-13,0,28,22
165,25,2010-06-14,0,25,21
166,29,2010-06-15,0,30,22
167,25,2010-06-16,0,24,18
168,20,2010-06-17,0,16,18
169,21,2010-06-18,0,21,14
170,23,2010-06-19,0,23,21
171,25,2010-06-20,0,23,21
172,24,2010-06-21,0,25,20
173,24,2010-06-22,0,25,22
174,22,2010-06-23,0,23,18
175,20,2010-06-24,0,20,18
176,22,2010-06-25,0,22,16
177,20,2010-06-26,0,19,18
178,22,2010-06-27,0,23,17
179,23,2010-06-28,0,22,18
180,23,2010-06-29,0,23,18
181,26,2010-06-30,0,24,18
182,25,2010-07-01,0,25,20
183,27,2010-07-02,0,28,20
184,27,2010-07-03,0,27,20
185,26,2010-07-04,0,26,18
186,26,2010-07-05,0,25,21
187,22,2010-07-06,0,26,18
188,25,2010-07-07,0,23,17
189,27,2010-07-08,0,25,17
190,20,2010-07-09,0,30,20
191,25,2010-07-10,0,23,19
192,25,2010-07-11,0,25,18
193,23,2010-07-12,0,26,20
194,27,2010-07-13,0,26,20
195,24,2010-07-14,0,29,22
196,30,2010-07-15,0,26,23
197,30,2010-07-16,0,28,21
198,29,2010-07-17,0,30,24
199,31,2010-07-18,0,30,21
200,29,2010-07-19,0,27,23
201,28,2010-07-20,0,28,23
202,30,2010-07-21,0,30,21
203,31,2010-07-22,0,29,23
204,29,2010-07-23,0,28,22
205,27,2010-07-24,0,26,21
206,27,2010-07-25,0,27,21
207,27,2010-07-26,0,27,21
208,27,2010-07-27,0,27,25
209,25,2010-07-28,0,26,20
210,25,2010-07-29,0,26,19
211,26,2010-07-30,0,26,19
212,32,2010-07-31,0,29,20
213,32,2010-08-01,0,30,23
214,34,2010-08-02,0,32,23
215,31,2010-08-03,0,31,23
216,28,2010-08-04,0,29,23
217,31,2010-08-05,0,31,23
218,31,2010-08-06,0,29,24
219,29,2010-08-07,0,30,26
220,31,2010-08-08,0,32,23
221,34,2010-08-09,0,35,23
222,34,2010-08-10,0,32,24
223,34,2010-08-11,0,34,24
224,35,2010-08-12,0,35,24
225,32,2010-08-13,0,32,24
226,34,2010-08-14,0,30,24
227,33,2010-08-15,0,30,24
228,31,2010-08-16,0,33,24
229,29,2010-08-17,0,31,26
230,28,2010-08-18,0,28,23
231,26,2010-08-19,0,27,20
232,25,2010-08-20,0,25,20
233,24,2010-08-21,0,23,17
